Epoch: [0][0/97], lr: 0.00200	Time 2.096 (2.096)	Data 0.107 (0.107)	Loss 3.6766 (3.6766)	Prec@1 3.906 (3.906)	Prec@5 54.688 (54.688)
Epoch: [0][10/97], lr: 0.00200	Time 0.141 (0.310)	Data 0.000 (0.010)	Loss 3.1667 (2.8324)	Prec@1 28.906 (31.676)	Prec@5 53.906 (69.815)
Epoch: [0][20/97], lr: 0.00200	Time 0.140 (0.229)	Data 0.000 (0.009)	Loss 2.7288 (2.5912)	Prec@1 26.562 (33.594)	Prec@5 77.344 (75.818)
Epoch: [0][30/97], lr: 0.00200	Time 0.139 (0.200)	Data 0.000 (0.009)	Loss 1.9253 (2.4730)	Prec@1 42.969 (35.610)	Prec@5 86.719 (78.604)
Epoch: [0][40/97], lr: 0.00200	Time 0.140 (0.185)	Data 0.000 (0.009)	Loss 2.0086 (2.3900)	Prec@1 24.219 (37.881)	Prec@5 89.062 (80.888)
Epoch: [0][50/97], lr: 0.00200	Time 0.139 (0.176)	Data 0.000 (0.009)	Loss 1.6921 (2.2849)	Prec@1 49.219 (39.859)	Prec@5 89.062 (82.276)
Epoch: [0][60/97], lr: 0.00200	Time 0.141 (0.170)	Data 0.000 (0.009)	Loss 1.4891 (2.2237)	Prec@1 53.125 (41.752)	Prec@5 89.062 (83.568)
Epoch: [0][70/97], lr: 0.00200	Time 0.139 (0.166)	Data 0.000 (0.009)	Loss 1.9164 (2.1794)	Prec@1 52.344 (42.463)	Prec@5 91.406 (84.452)
Epoch: [0][80/97], lr: 0.00200	Time 0.139 (0.163)	Data 0.000 (0.009)	Loss 1.8002 (2.1362)	Prec@1 57.031 (43.171)	Prec@5 92.969 (85.233)
Epoch: [0][90/97], lr: 0.00200	Time 0.138 (0.160)	Data 0.000 (0.009)	Loss 2.3274 (2.1025)	Prec@1 49.219 (43.759)	Prec@5 92.188 (85.903)
Epoch: [1][0/97], lr: 0.00400	Time 0.148 (0.148)	Data 0.093 (0.093)	Loss 1.6465 (1.6465)	Prec@1 55.469 (55.469)	Prec@5 92.969 (92.969)
Epoch: [1][10/97], lr: 0.00400	Time 0.140 (0.141)	Data 0.000 (0.016)	Loss 1.8965 (1.9578)	Prec@1 46.094 (46.236)	Prec@5 87.500 (89.418)
Epoch: [1][20/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 2.0395 (1.9668)	Prec@1 18.750 (46.540)	Prec@5 88.281 (89.993)
Epoch: [1][30/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 1.9943 (1.9594)	Prec@1 36.719 (44.355)	Prec@5 81.250 (89.365)
Epoch: [1][40/97], lr: 0.00400	Time 0.138 (0.140)	Data 0.000 (0.011)	Loss 1.9078 (1.9852)	Prec@1 45.312 (45.065)	Prec@5 91.406 (89.177)
Epoch: [1][50/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.7714 (1.9575)	Prec@1 37.500 (45.037)	Prec@5 92.188 (89.491)
Epoch: [1][60/97], lr: 0.00400	Time 0.138 (0.140)	Data 0.002 (0.010)	Loss 2.0380 (1.9191)	Prec@1 45.312 (46.299)	Prec@5 85.938 (89.997)
Epoch: [1][70/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.5325 (1.8778)	Prec@1 51.562 (47.700)	Prec@5 92.188 (90.460)
Epoch: [1][80/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.6215 (1.8502)	Prec@1 40.625 (47.820)	Prec@5 88.281 (90.432)
Epoch: [1][90/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.3413 (1.8236)	Prec@1 61.719 (48.738)	Prec@5 93.750 (90.642)
Epoch: [2][0/97], lr: 0.00600	Time 0.161 (0.161)	Data 0.106 (0.106)	Loss 1.5751 (1.5751)	Prec@1 39.844 (39.844)	Prec@5 89.844 (89.844)
Epoch: [2][10/97], lr: 0.00600	Time 0.140 (0.141)	Data 0.000 (0.017)	Loss 1.5332 (1.8203)	Prec@1 55.469 (52.273)	Prec@5 94.531 (92.472)
Epoch: [2][20/97], lr: 0.00600	Time 0.142 (0.141)	Data 0.000 (0.013)	Loss 1.8724 (1.7200)	Prec@1 46.094 (51.935)	Prec@5 88.281 (91.815)
Epoch: [2][30/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.012)	Loss 1.4612 (1.7222)	Prec@1 58.594 (52.949)	Prec@5 92.188 (91.961)
Epoch: [2][40/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 1.8564 (1.6927)	Prec@1 50.000 (54.554)	Prec@5 91.406 (92.226)
Epoch: [2][50/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 1.5070 (1.6663)	Prec@1 66.406 (55.729)	Prec@5 93.750 (92.463)
Epoch: [2][60/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.4450 (1.6411)	Prec@1 54.688 (56.058)	Prec@5 94.531 (92.636)
Epoch: [2][70/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.5943 (1.6537)	Prec@1 54.688 (56.239)	Prec@5 89.062 (92.705)
Epoch: [2][80/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.7471 (1.6666)	Prec@1 58.594 (55.044)	Prec@5 90.625 (92.120)
Epoch: [2][90/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.5881 (1.6507)	Prec@1 53.906 (55.486)	Prec@5 92.969 (92.316)
Epoch: [3][0/97], lr: 0.00800	Time 0.147 (0.147)	Data 0.093 (0.093)	Loss 1.3479 (1.3479)	Prec@1 64.062 (64.062)	Prec@5 97.656 (97.656)
Epoch: [3][10/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.4263 (1.5141)	Prec@1 58.594 (57.031)	Prec@5 97.656 (94.247)
Epoch: [3][20/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.009 (0.013)	Loss 1.5208 (1.5412)	Prec@1 60.938 (57.850)	Prec@5 94.531 (94.717)
Epoch: [3][30/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.012)	Loss 2.0115 (1.5249)	Prec@1 57.812 (58.367)	Prec@5 92.969 (94.556)
Epoch: [3][40/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 1.5089 (1.5487)	Prec@1 53.125 (56.726)	Prec@5 92.969 (94.207)
Epoch: [3][50/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 2.1690 (1.5629)	Prec@1 53.125 (56.832)	Prec@5 92.188 (94.102)
Epoch: [3][60/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.5220 (1.5571)	Prec@1 64.062 (57.595)	Prec@5 96.094 (94.096)
Epoch: [3][70/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.5434 (1.5541)	Prec@1 62.500 (58.121)	Prec@5 96.094 (94.201)
Epoch: [3][80/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.4906 (1.5535)	Prec@1 55.469 (58.169)	Prec@5 92.188 (94.020)
Epoch: [3][90/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.7500 (1.5496)	Prec@1 59.375 (58.225)	Prec@5 92.969 (93.930)
Epoch: [4][0/97], lr: 0.01000	Time 0.173 (0.173)	Data 0.119 (0.119)	Loss 1.6278 (1.6278)	Prec@1 60.156 (60.156)	Prec@5 89.844 (89.844)
Epoch: [4][10/97], lr: 0.01000	Time 0.140 (0.142)	Data 0.000 (0.019)	Loss 1.5775 (1.5148)	Prec@1 56.250 (62.429)	Prec@5 94.531 (93.253)
Epoch: [4][20/97], lr: 0.01000	Time 0.142 (0.141)	Data 0.000 (0.014)	Loss 1.5130 (1.5201)	Prec@1 53.125 (59.933)	Prec@5 88.281 (93.452)
Epoch: [4][30/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.012)	Loss 1.2636 (1.4958)	Prec@1 64.844 (59.829)	Prec@5 100.000 (93.901)
Epoch: [4][40/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.011)	Loss 1.3585 (1.5003)	Prec@1 67.969 (60.404)	Prec@5 95.312 (93.998)
Epoch: [4][50/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 1.6475 (1.4832)	Prec@1 54.688 (60.662)	Prec@5 95.312 (94.102)
Epoch: [4][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 1.7132 (1.4797)	Prec@1 50.000 (60.079)	Prec@5 89.062 (94.070)
Epoch: [4][70/97], lr: 0.01000	Time 0.142 (0.140)	Data 0.000 (0.010)	Loss 1.8288 (1.4781)	Prec@1 63.281 (60.420)	Prec@5 92.969 (94.245)
