Epoch: [0][0/97], lr: 0.00200	Time 2.117 (2.117)	Data 0.122 (0.122)	Loss 5.2719 (5.2719)	Prec@1 3.125 (3.125)	Prec@5 18.750 (18.750)
Epoch: [0][10/97], lr: 0.00200	Time 0.139 (0.311)	Data 0.000 (0.011)	Loss 2.1377 (2.6094)	Prec@1 34.375 (34.801)	Prec@5 88.281 (78.196)
Epoch: [0][20/97], lr: 0.00200	Time 0.140 (0.230)	Data 0.000 (0.010)	Loss 1.4484 (2.1725)	Prec@1 54.688 (40.402)	Prec@5 90.625 (83.147)
Epoch: [0][30/97], lr: 0.00200	Time 0.139 (0.201)	Data 0.000 (0.010)	Loss 1.8271 (2.0239)	Prec@1 50.000 (44.128)	Prec@5 90.625 (86.215)
Epoch: [0][40/97], lr: 0.00200	Time 0.140 (0.186)	Data 0.000 (0.009)	Loss 1.3412 (1.9454)	Prec@1 53.906 (45.998)	Prec@5 93.750 (87.462)
Epoch: [0][50/97], lr: 0.00200	Time 0.140 (0.177)	Data 0.000 (0.009)	Loss 1.4015 (1.8558)	Prec@1 54.688 (48.254)	Prec@5 95.312 (88.603)
Epoch: [0][60/97], lr: 0.00200	Time 0.141 (0.171)	Data 0.000 (0.009)	Loss 1.2431 (1.7881)	Prec@1 53.906 (49.360)	Prec@5 98.438 (89.754)
Epoch: [0][70/97], lr: 0.00200	Time 0.139 (0.166)	Data 0.000 (0.009)	Loss 1.2504 (1.7390)	Prec@1 55.469 (50.264)	Prec@5 95.312 (90.317)
Epoch: [0][80/97], lr: 0.00200	Time 0.139 (0.163)	Data 0.000 (0.009)	Loss 1.4956 (1.6874)	Prec@1 57.812 (51.042)	Prec@5 94.531 (90.963)
Epoch: [0][90/97], lr: 0.00200	Time 0.139 (0.160)	Data 0.000 (0.009)	Loss 1.4768 (1.6476)	Prec@1 55.469 (51.760)	Prec@5 95.312 (91.389)
Epoch: [1][0/97], lr: 0.00400	Time 0.147 (0.147)	Data 0.092 (0.092)	Loss 1.2603 (1.2603)	Prec@1 57.812 (57.812)	Prec@5 91.406 (91.406)
Epoch: [1][10/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.016)	Loss 1.4120 (1.3374)	Prec@1 51.562 (56.321)	Prec@5 93.750 (93.963)
Epoch: [1][20/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 1.1720 (1.3326)	Prec@1 67.969 (56.994)	Prec@5 93.750 (93.824)
Epoch: [1][30/97], lr: 0.00400	Time 0.141 (0.140)	Data 0.000 (0.011)	Loss 1.2122 (1.2957)	Prec@1 57.812 (57.686)	Prec@5 94.531 (94.330)
Epoch: [1][40/97], lr: 0.00400	Time 0.138 (0.140)	Data 0.000 (0.011)	Loss 1.1361 (1.2806)	Prec@1 60.938 (57.812)	Prec@5 94.531 (94.436)
Epoch: [1][50/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.2780 (1.2579)	Prec@1 58.594 (58.655)	Prec@5 92.188 (94.516)
Epoch: [1][60/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.2912 (1.2440)	Prec@1 62.500 (59.029)	Prec@5 94.531 (94.595)
Epoch: [1][70/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.0268 (1.2342)	Prec@1 71.094 (59.540)	Prec@5 96.094 (94.729)
Epoch: [1][80/97], lr: 0.00400	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 1.3009 (1.2330)	Prec@1 50.000 (59.587)	Prec@5 98.438 (94.724)
Epoch: [1][90/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.2804 (1.2226)	Prec@1 52.344 (59.787)	Prec@5 98.438 (94.943)
Epoch: [2][0/97], lr: 0.00600	Time 0.149 (0.149)	Data 0.095 (0.095)	Loss 1.4418 (1.4418)	Prec@1 53.125 (53.125)	Prec@5 94.531 (94.531)
Epoch: [2][10/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.3629 (1.2438)	Prec@1 59.375 (60.795)	Prec@5 94.531 (95.810)
Epoch: [2][20/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 0.9583 (1.2011)	Prec@1 66.406 (60.938)	Prec@5 96.875 (95.350)
Epoch: [2][30/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 1.0471 (1.2189)	Prec@1 67.188 (60.534)	Prec@5 96.094 (95.514)
Epoch: [2][40/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 1.0492 (1.2063)	Prec@1 66.406 (60.366)	Prec@5 93.750 (95.522)
Epoch: [2][50/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.0031 (1.2009)	Prec@1 66.406 (60.600)	Prec@5 98.438 (95.466)
Epoch: [2][60/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.1065 (1.1929)	Prec@1 64.062 (61.066)	Prec@5 95.312 (95.466)
Epoch: [2][70/97], lr: 0.00600	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 1.1040 (1.1792)	Prec@1 63.281 (61.653)	Prec@5 95.312 (95.478)
Epoch: [2][80/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.0155 (1.1673)	Prec@1 68.750 (61.786)	Prec@5 96.875 (95.505)
Epoch: [2][90/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.0436 (1.1585)	Prec@1 57.031 (61.976)	Prec@5 96.875 (95.579)
Epoch: [3][0/97], lr: 0.00800	Time 0.147 (0.147)	Data 0.093 (0.093)	Loss 1.1189 (1.1189)	Prec@1 64.844 (64.844)	Prec@5 95.312 (95.312)
Epoch: [3][10/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.2296 (1.0529)	Prec@1 61.719 (64.347)	Prec@5 98.438 (96.804)
Epoch: [3][20/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 1.0664 (1.0605)	Prec@1 60.156 (64.918)	Prec@5 95.312 (96.280)
Epoch: [3][30/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 1.1615 (1.0841)	Prec@1 64.062 (64.340)	Prec@5 94.531 (96.043)
Epoch: [3][40/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 1.1577 (1.0751)	Prec@1 58.594 (64.710)	Prec@5 94.531 (96.018)
Epoch: [3][50/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.1870 (1.0713)	Prec@1 63.281 (64.920)	Prec@5 93.750 (96.078)
Epoch: [3][60/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 0.9840 (1.0730)	Prec@1 63.281 (64.793)	Prec@5 100.000 (96.043)
Epoch: [3][70/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.2794 (1.0822)	Prec@1 59.375 (64.701)	Prec@5 98.438 (96.028)
Epoch: [3][80/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 0.9145 (1.0738)	Prec@1 66.406 (64.738)	Prec@5 97.656 (96.036)
Epoch: [3][90/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.1291 (1.0710)	Prec@1 70.312 (64.809)	Prec@5 94.531 (96.068)
Epoch: [4][0/97], lr: 0.01000	Time 0.142 (0.142)	Data 0.088 (0.088)	Loss 0.9792 (0.9792)	Prec@1 67.188 (67.188)	Prec@5 96.094 (96.094)
Epoch: [4][10/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.0274 (1.0741)	Prec@1 65.625 (63.991)	Prec@5 96.094 (95.881)
