Epoch: [2][90/97], lr: 0.00600	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.8121 (1.9662)	Prec@1 39.062 (34.272)	Prec@5 91.406 (84.530)
Epoch: [3][0/97], lr: 0.00800	Time 0.162 (0.162)	Data 0.103 (0.103)	Loss 1.6597 (1.6597)	Prec@1 45.312 (45.312)	Prec@5 89.062 (89.062)
Epoch: [3][10/97], lr: 0.00800	Time 0.143 (0.146)	Data 0.000 (0.018)	Loss 2.3828 (1.8932)	Prec@1 10.156 (32.244)	Prec@5 78.906 (86.719)
Epoch: [3][20/97], lr: 0.00800	Time 0.143 (0.145)	Data 0.000 (0.014)	Loss 2.0229 (1.9451)	Prec@1 7.031 (23.438)	Prec@5 78.906 (84.115)
Epoch: [3][30/97], lr: 0.00800	Time 0.143 (0.144)	Data 0.000 (0.012)	Loss 1.8723 (1.9715)	Prec@1 46.875 (21.598)	Prec@5 82.031 (82.132)
Epoch: [3][40/97], lr: 0.00800	Time 0.144 (0.144)	Data 0.000 (0.011)	Loss 1.9666 (1.9755)	Prec@1 48.438 (27.896)	Prec@5 85.938 (82.793)
Epoch: [3][50/97], lr: 0.00800	Time 0.144 (0.144)	Data 0.000 (0.011)	Loss 1.7515 (1.9383)	Prec@1 50.000 (30.469)	Prec@5 92.969 (83.992)
Epoch: [3][60/97], lr: 0.00800	Time 0.144 (0.144)	Data 0.000 (0.011)	Loss 1.9766 (1.9304)	Prec@1 20.312 (32.633)	Prec@5 82.031 (84.951)
Epoch: [3][70/97], lr: 0.00800	Time 0.143 (0.144)	Data 0.000 (0.010)	Loss 2.1948 (1.9432)	Prec@1 31.250 (31.844)	Prec@5 82.812 (84.573)
Epoch: [3][80/97], lr: 0.00800	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.9074 (1.9422)	Prec@1 45.312 (33.883)	Prec@5 89.844 (84.983)
Epoch: [3][90/97], lr: 0.00800	Time 0.142 (0.144)	Data 0.000 (0.010)	Loss 1.9386 (1.9445)	Prec@1 18.750 (33.207)	Prec@5 81.250 (84.641)
Epoch: [4][0/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.089 (0.089)	Loss 1.9986 (1.9986)	Prec@1 35.156 (35.156)	Prec@5 85.938 (85.938)
Epoch: [4][10/97], lr: 0.01000	Time 0.145 (0.143)	Data 0.000 (0.016)	Loss 1.8664 (1.8650)	Prec@1 28.906 (26.349)	Prec@5 91.406 (88.139)
Epoch: [4][20/97], lr: 0.01000	Time 0.144 (0.143)	Data 0.000 (0.013)	Loss 2.0454 (1.9320)	Prec@1 42.969 (32.440)	Prec@5 86.719 (86.905)
Epoch: [4][30/97], lr: 0.01000	Time 0.144 (0.143)	Data 0.000 (0.012)	Loss 1.7441 (1.9064)	Prec@1 52.344 (35.660)	Prec@5 89.062 (87.777)
Epoch: [4][40/97], lr: 0.01000	Time 0.144 (0.143)	Data 0.000 (0.011)	Loss 1.9453 (1.8880)	Prec@1 44.531 (35.899)	Prec@5 89.062 (87.957)
Epoch: [4][50/97], lr: 0.01000	Time 0.144 (0.143)	Data 0.000 (0.011)	Loss 1.6500 (1.8758)	Prec@1 38.281 (36.719)	Prec@5 85.938 (87.546)
Epoch: [4][60/97], lr: 0.01000	Time 0.143 (0.143)	Data 0.000 (0.010)	Loss 2.0187 (1.8816)	Prec@1 31.250 (36.014)	Prec@5 89.062 (87.513)
Epoch: [4][70/97], lr: 0.01000	Time 0.143 (0.143)	Data 0.000 (0.010)	Loss 1.9518 (1.8790)	Prec@1 31.250 (35.717)	Prec@5 83.594 (87.159)
Epoch: [4][80/97], lr: 0.01000	Time 0.143 (0.143)	Data 0.000 (0.010)	Loss 1.8085 (1.8740)	Prec@1 49.219 (37.076)	Prec@5 90.625 (87.539)
Epoch: [4][90/97], lr: 0.01000	Time 0.144 (0.143)	Data 0.000 (0.010)	Loss 2.0007 (1.8736)	Prec@1 35.156 (37.826)	Prec@5 75.000 (87.363)
Epoch: [5][0/97], lr: 0.01000	Time 0.147 (0.147)	Data 0.092 (0.092)	Loss 1.6281 (1.6281)	Prec@1 30.469 (30.469)	Prec@5 81.250 (81.250)
Epoch: [5][10/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.017)	Loss 1.6356 (1.7270)	Prec@1 47.656 (37.145)	Prec@5 90.625 (87.784)
