Epoch: [3][30/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.012)	Loss 3.9471 (4.3900)	Prec@1 72.656 (68.926)	Prec@5 96.094 (95.741)
Epoch: [3][40/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 4.6305 (4.3838)	Prec@1 67.188 (68.712)	Prec@5 91.406 (95.770)
Epoch: [3][50/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.5613 (4.3693)	Prec@1 67.188 (68.888)	Prec@5 93.750 (95.711)
Epoch: [3][60/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.6243 (4.4236)	Prec@1 63.281 (68.596)	Prec@5 91.406 (95.287)
Epoch: [3][70/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.8457 (4.4127)	Prec@1 71.094 (68.871)	Prec@5 98.438 (95.401)
Epoch: [3][80/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.2693 (4.4040)	Prec@1 78.125 (69.039)	Prec@5 98.438 (95.293)
Epoch: [3][90/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.1225 (4.4139)	Prec@1 71.875 (69.085)	Prec@5 95.312 (95.209)
Epoch: [4][0/97], lr: 0.01000	Time 0.153 (0.153)	Data 0.099 (0.099)	Loss 5.0346 (5.0346)	Prec@1 63.281 (63.281)	Prec@5 92.188 (92.188)
Epoch: [4][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 4.0420 (4.2223)	Prec@1 71.875 (70.810)	Prec@5 92.188 (94.673)
Epoch: [4][20/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 3.7117 (4.2278)	Prec@1 72.656 (70.685)	Prec@5 96.094 (94.940)
Epoch: [4][30/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.012)	Loss 4.6801 (4.1787)	Prec@1 68.750 (71.018)	Prec@5 96.094 (95.111)
Epoch: [4][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 3.7049 (4.1314)	Prec@1 75.000 (71.627)	Prec@5 97.656 (95.217)
Epoch: [4][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.5326 (4.0899)	Prec@1 75.000 (71.952)	Prec@5 96.875 (95.328)
Epoch: [4][60/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 3.9582 (4.0424)	Prec@1 71.094 (72.195)	Prec@5 97.656 (95.710)
Epoch: [4][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 5.2915 (4.0372)	Prec@1 66.406 (72.227)	Prec@5 92.188 (95.764)
Epoch: [4][80/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 4.7664 (4.0372)	Prec@1 67.188 (72.184)	Prec@5 93.750 (95.747)
Epoch: [4][90/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.7585 (4.0775)	Prec@1 67.969 (71.858)	Prec@5 94.531 (95.647)
